"source_id","period","geography","vehicle_type","powertrain","sales","unit","period_type","metric","estimate_status","coverage_status","observation_level","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","projection_ready"
"goauto_kpmg_2018_industry","2018","Australia","passenger","total",378413,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,370845,385981,"",TRUE
"goauto_kpmg_2018_industry","2018","Australia","SUV","total",495300,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,485394,505206,"",TRUE
"fcai_2019_full","2019","Australia","total","total",1062867,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"FCAI reports 2019 VFACTS total new vehicle sales.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","all_new_vehicles","direct_official_or_primary",1,1052238,1073496,"",TRUE
"carexpert_2020_full","2019","Australia","total","BEV_excl_Tesla",1522,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 EV excluding Tesla total and reported year-on-year growth.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","derived_from_public_percent_or_residual",8,1400,1644,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2019","Australia","total","BEV_or_PHEV",6718,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,5374,8062,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"goauto_2020_hybrid_market","2019","Australia","total","HEV",30641,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"GoAuto reports total hybrid deliveries in 2019.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,30028,31254,"",TRUE
"carexpert_2020_full","2019","Australia","total","ICE_diesel",332182,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 diesel total and reported year-on-year decline.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","derived_from_public_percent_or_residual",8,305607,358757,"",TRUE
"carexpert_2020_full","2019","Australia","total","ICE_petrol",658193,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 petrol total and reported year-on-year decline.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","derived_from_public_percent_or_residual",8,605538,710848,"",TRUE
"carexpert_2020_full","2019","Australia","total","PHEV",1426,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","powertrain_total",TRUE,"Derived from 2020 PHEV total and reported year-on-year growth.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","derived_from_public_percent_or_residual",8,1312,1540,"",TRUE
"fcai_2019_full","2019","Australia","heavy_commercial","total",37882,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after derived light-vehicle class totals.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,34851,40913,"",TRUE
"fcai_2019_full","2019","Australia","light_commercial","total",225597,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS light-commercial total and FCAI-reported 2019 light-commercial decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,207549,243645,"",TRUE
"fcai_2019_full","2019","Australia","passenger","total",315975,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS passenger total and FCAI-reported 2019 passenger decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,290697,341253,"",TRUE
"fcai_2019_full","2019","Australia","SUV","total",483413,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from 2018 VFACTS SUV total and FCAI-reported 2019 SUV decline.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,444740,522086,"",TRUE
"carexpert_2020_full","2020","Australia","total","total",916968,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"CarExpert reports FCAI/VFACTS full-year 2020 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,898629,935307,"",TRUE
"carexpert_2020_full","2020","Australia","total","BEV_excl_Tesla",1769,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS; excludes Tesla.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","direct_media_vfacts_quote",2,1734,1804,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2020","Australia","total","BEV_or_PHEV",6900,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,5520,8280,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"carexpert_2020_full","2020","Australia","total","HEV",60417,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,59209,61625,"",TRUE
"carexpert_2020_full","2020","Australia","total","ICE_diesel",290659,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","direct_media_vfacts_quote",2,284846,296472,"",TRUE
"carexpert_2020_full","2020","Australia","total","ICE_petrol",527871,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","direct_media_vfacts_quote",2,517314,538428,"",TRUE
"carexpert_2020_full","2020","Australia","total","PHEV",1685,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type total reported by CarExpert from VFACTS.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,1651,1719,"",TRUE
"carexpert_2020_full","2020","Australia","heavy_commercial","total",34845,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after derived light-vehicle class totals.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,32057,37633,"",TRUE
"carexpert_2020_full","2020","Australia","light_commercial","total",205401,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 light-commercial market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,188969,221833,"",TRUE
"carexpert_2020_full","2020","Australia","passenger","total",221906,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 passenger-car market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,204154,239658,"",TRUE
"carexpert_2020_full","2020","Australia","SUV","total",454816,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Derived from reported 2020 SUV market share.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,418431,491201,"",TRUE
"carexpert_2021_full","2021","Australia","total","total",1049831,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"CarExpert reports FCAI/VFACTS full-year 2021 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1028834,1070828,"",TRUE
"carexpert_2021_full","2021","Australia","total","BEV_excl_Tesla",5149,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown reports EV minus Tesla.","B","media_vfacts_quote","CarExpert","excludes_tesla","BEV","all_new_vehicles","direct_media_vfacts_quote",2,5046,5252,"excludes Tesla; not directly comparable with later all-brand BEV totals",FALSE
"wiki_pev_au","2021","Australia","total","BEV_or_PHEV",17293,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,13834,20752,"combined plug-in bucket; do not sum with separate BEV/PHEV rows",FALSE
"carexpert_2021_full","2021","Australia","total","FCEV",38,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","FCEV","all_new_vehicles","direct_media_vfacts_quote",2,37,39,"",TRUE
"carexpert_2021_full","2021","Australia","total","HEV",70466,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,69057,71875,"",TRUE
"carexpert_2021_full","2021","Australia","total","ICE_diesel",346990,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_diesel","all_new_vehicles","direct_media_vfacts_quote",2,340050,353930,"",TRUE
"carexpert_2021_full","2021","Australia","total","ICE_petrol",580495,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","ICE_petrol","all_new_vehicles","direct_media_vfacts_quote",2,568885,592105,"",TRUE
"carexpert_2021_full","2021","Australia","total","PHEV",3372,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,3305,3439,"",TRUE
"carexpert_2021_full","2021","Australia","heavy_commercial","total",43231,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","heavy_commercial_only","direct_media_vfacts_quote",2,42366,44096,"",TRUE
"carexpert_2021_full","2021","Australia","light_commercial","total",253254,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,248189,258319,"",TRUE
"carexpert_2021_full","2021","Australia","passenger","total",221556,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,217125,225987,"",TRUE
"carexpert_2021_full","2021","Australia","SUV","total",531700,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,521066,542334,"",TRUE
"aaa_ev_index","2022","Australia","total","total",1030967,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","market_total",TRUE,"AAA EV Index light-vehicle market rollup across broad vehicle and fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,1025812,1036122,"light-vehicle market only; excludes heavy commercial",TRUE
"aaa_ev_index","2022","Australia","total","BEV",33410,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","powertrain_total",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,33243,33577,"",TRUE
"aaa_ev_index","2022","Australia","total","FCEV",15,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","powertrain_total",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","FCEV","light_vehicle","direct_dashboard_complete",0.5,15,15,"",TRUE
"aaa_ev_index","2022","Australia","total","HEV",81786,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","powertrain_total",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","HEV","light_vehicle","direct_dashboard_complete",0.5,81377,82195,"",TRUE
"aaa_ev_index","2022","Australia","total","ICE",909819,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","powertrain_total",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","ICE","light_vehicle","direct_dashboard_complete",0.5,905270,914368,"",TRUE
"aaa_ev_index","2022","Australia","total","PHEV",5937,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","powertrain_total",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","PHEV","light_vehicle","direct_dashboard_complete",0.5,5907,5967,"",TRUE
"aaa_ev_index","2022","Australia","light_commercial","BEV",53,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","vehicle_type_powertrain",TRUE,"AAA EV Index direct annual aggregation from state/model/vehicle-type/fuel quarterly rows.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,53,53,"",TRUE
"aaa_ev_index","2022","Australia","light_commercial","HEV",0,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year","vehicle_type_powertrain",TRUE,"AAA EV Index direct annual aggregation from state/model/vehicle-type/fuel quarterly rows.","A","official_dashboard","Australian Automobile Association","includes_tesla","HEV","light_vehicle","direct_dashboard_complete",0.5,0,0,"",TRUE
