"source_id","model","model_key","variant_details","vehicle_type","broad_vehicle_type","powertrain","listed_price_aud","fast_charge_time_minutes","fast_charge_power_kw","ancap_rating_raw","ancap_stars","ancap_year","ancap_van_rating","range_km","energy_consumption","notes"
"aaa_ev_index_vehicle_specs","Porsche Taycan","porsche taycan","2025 Porsche Taycan Y1A II Auto RWD MY25","Large Car","passenger","BEV",174500,18,320,"Unrated",NA,NA,NA,434,28.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Rolls-Royce Coupe/Conv","rolls royce coupe conv","2025 Rolls-Royce Spectre Black Badge RR25 Auto AWD MY25","Sports Car","passenger","BEV",933000,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Tesla Model 3","tesla model 3","2025 Tesla Model 3 Rear-Wheel Drive Auto","Medium Car","passenger","BEV",54900,NA,NA,"5 star, 2025",5,2025,NA,559,13.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","LDV Mifa 9","ldv mifa 9","2025 LDV Mifa 9 Luxe Auto MY23","People Mover","people_mover","BEV",129000,36,NA,"5 star, 2022",5,2022,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz EQV","mercedes benz eqv","2025 Mercedes-Benz EQV EQV300 Auto","People Mover","people_mover","BEV",161723,75,350,"Unrated",NA,NA,NA,430,25.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz eVito Tourer","mercedes benz evito tourer","2025 Mercedes-Benz eVito Tourer 129 Medium Wheelbase Auto","People Mover","people_mover","BEV",137515,40,NA,"Unrated",NA,NA,NA,421,26.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Zeekr 009 ","zeekr 009","2025 Zeekr 009 Auto AWD MY25","People Mover","people_mover","BEV",135900,30,205,"Unrated",NA,NA,NA,686,19.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Alfa Romeo Junior","alfa romeo junior","2025 Alfa Romeo Junior Elettrica Auto FWD","Small SUV","SUV","BEV",57900,27,100,"Unrated",NA,NA,NA,407,15.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi Q4 e-tron","audi q4 e tron","2025 Audi Q4 e-tron 45 Auto MY25","Medium SUV","SUV","BEV",84900,28,175,"5 star, 2021",5,2021,NA,524,17.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi Q6 e-tron","audi q6 e tron","2025 Audi Q6 e-tron Auto e-quattro MY25","Medium SUV","SUV","BEV",127500,21,170,"5 star, 2024",5,2024,NA,542,19.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi Q8 e-tron","audi q8 e tron","2025 Audi Q8 e-tron 50 Auto e-quattro MY25","Large SUV","SUV","BEV",140090,31,170,"5 star, 2019",5,2019,NA,405,24.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW iX","bmw ix","2025 BMW iX xDrive45 M Sport I20 LCI Auto AWD","Large SUV","SUV","BEV",142900,34,205,"5 star, 2021",5,2021,NA,522,20,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW iX1","bmw ix1","2025 BMW iX1 eDrive20 xLine U11 Auto","Small SUV","SUV","BEV",80600,29,205,"5 star, 2022",5,2022,NA,464,15.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW iX2","bmw ix2","2025 BMW iX2 eDrive20 M Sport U10 Auto","Small SUV","SUV","BEV",84700,39,205,"Unrated",NA,NA,NA,427,17.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW iX3","bmw ix3","2025 BMW iX3 M Sport G08 Auto","Medium SUV","SUV","BEV",91000,30,150,"Unrated",NA,NA,NA,440,21.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Atto 3","byd atto 3","2025 BYD ATTO 3 Essential Auto","Medium SUV","SUV","BEV",39990,29,88,"5 star, 2022",5,2022,NA,410,14.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Sealion 7","byd sealion 7","2025 BYD Sealion 7 Performance Auto AWD","Medium SUV","SUV","BEV",63990,NA,NA,"5 star, 2025",5,2025,NA,542,17.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Chery C5/E5 & Omoda 5","chery c5 e5 and omoda 5","2025 Chery E5 Ultimate Auto MY25.5","Small SUV","SUV","BEV",40990,28,80,"Unrated",NA,NA,NA,505,13.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","CUPRA Tavascan","cupra tavascan","2025 CUPRA Tavascan Endurance Auto MY25","Medium SUV","SUV","BEV",60990,28,135,"4 star, 2024",4,2024,NA,534,16.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Deepal E07","deepal e07","2025 Deepal E07 Performance Auto AWD MY25","Large SUV","SUV","BEV",73900,15,240,"Unrated",NA,NA,NA,590,16.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Deepal S07","deepal s07","2025 Deepal S07 Auto MY24","Medium SUV","SUV","BEV",53900,35,92,"5 star, 2024",5,2024,NA,475,18.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ford Mustang Mach-E","ford mustang mach e","2023 Ford Mustang Mach-E Select Auto MY23.75","Large SUV","SUV","BEV",64990,32,150,"5 star, 2021",5,2021,NA,470,17.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Geely EX5","geely ex5","2025 Geely EX5 Complete Auto MY25","Medium SUV","SUV","BEV",40990,20,100,"5 star, 2025",5,2025,NA,430,15.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Genesis GV60","genesis gv60","2025 Genesis GV60 AWD Auto AWD MY24","Small SUV","SUV","BEV",103384,18,350,"5 star, 2022",5,2022,NA,470,18.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Genesis GV70","genesis gv70","2025 Genesis GV70 Signature Performance Auto AWD MY25","Medium SUV","SUV","BEV",132800,19,350,"5 star, 2021",5,2021,NA,445,19.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Hyundai Inster","hyundai inster","2025 Hyundai INSTER Auto 2WD MY26","Small SUV","SUV","BEV",39000,30,150,"5 star, 2025",5,2025,NA,327,14.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Hyundai Ioniq 5","hyundai ioniq 5","2025 Hyundai IONIQ 5 Auto 2WD MY25","Medium SUV","SUV","BEV",69800,18,NA,"5 star, 2021",5,2021,NA,440,15.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Hyundai Ioniq 9","hyundai ioniq 9","2025 Hyundai IONIQ 9 Calligraphy Auto AWD MY26","Large SUV","SUV","BEV",119750,24,350,"5 star, 2025",5,2025,NA,600,20.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Hyundai Kona BEV","hyundai kona bev","2025 Hyundai Kona Electric Auto 2WD MY25","Small SUV","SUV","BEV",54000,45,100,"4 star, 2023",4,2023,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Jeep Avenger","jeep avenger","2024 Jeep Avenger Longitude Auto FWD MY24","Small SUV","SUV","BEV",49990,24,100,"3 star, 2023",3,2023,NA,396,15.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","KIA EV3","kia ev3","2025 Kia EV3 Air Standard Range Auto 2WD MY25","Small SUV","SUV","BEV",47600,29,350,"5 star, 2023",5,2023,NA,436,14.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Kia EV5","kia ev5","2025 Kia EV5 Air Standard Range Auto MY25","Medium SUV","SUV","BEV",56770,36,350,"5 star, 2025",5,2025,NA,400,18.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Kia EV6","kia ev6","2025 Kia EV6 Air Auto MY24","Large SUV","SUV","BEV",72590,18,350,"5 star, 2022",5,2022,NA,528,16.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Kia EV9","kia ev9","2025 Kia EV9 Air Auto MY25","Large SUV","SUV","BEV",97000,20,350,"5 star, 2023",5,2023,NA,443,19.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Kia Niro BEV","kia niro bev","2025 Kia Niro EV S Auto 2WD MY25","Small SUV","SUV","BEV",66590,43,350,"5 star, 2022",5,2022,NA,455,15.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Leapmotor C10 BEV","leapmotor c10 bev","2025 Leapmotor C10 Style Auto MY25","Medium SUV","SUV","BEV",43888,30,84,"5 star, 2024",5,2024,NA,480,16.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lexus RZ","lexus rz","2025 Lexus RZ RZ450e Luxury Auto","Medium SUV","SUV","BEV",121059,30,150,"5 star, 2023",5,2023,NA,470,15.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lotus Eletre","lotus eletre","2025 Lotus Eletre Auto AWD MY24","Large SUV","SUV","BEV",189990,20,350,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz EQA","mercedes benz eqa","2025 Mercedes-Benz EQA EQA250+ City Edition Auto","Small SUV","SUV","BEV",80700,35,350,"5 star, 2019",5,2019,NA,578,14.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz EQB","mercedes benz eqb","2025 Mercedes-Benz EQB EQB250+ City Edition Auto","Medium SUV","SUV","BEV",85400,35,350,"5 star, 2019",5,2019,NA,564,14.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz EQE SUV","mercedes benz eqe suv","2025 Mercedes-Benz EQE EQE300 Auto","Large SUV","SUV","BEV",135200,32,350,"5 star, 2022",5,2022,NA,626,16.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz EQS SUV","mercedes benz eqs suv","2025 Mercedes-Benz EQS EQS450 Auto 4MATIC","Large SUV","SUV","BEV",197200,NA,NA,"5 star, 2021",5,2021,NA,698,19.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz G-Class","mercedes benz g class","2025 Mercedes-Benz G-Class G580 with EQ Technology Auto 4MATIC","Large SUV","SUV","BEV",249900,31,350,"Unrated",NA,NA,NA,567,23.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MG IM6","mg im6","2025 MG IM6 Platinum Auto MY25","Large SUV","SUV","BEV",NA,15.2,NA,"Unrated",NA,NA,NA,545,21.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MG S5","mg s5","2025 MG MGS5 EV Excite 49 Auto MY25","Small SUV","SUV","BEV",NA,19,120,"5 star, 2025",5,2025,NA,340,16.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MINI Countryman","mini countryman","2025 MINI Countryman SE Classic Auto ALL4","Small SUV","SUV","BEV",72990,29,130,"5 star, 2024",5,2024,NA,396,18.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Nissan Ariya","nissan ariya","2025 Nissan Ariya Advance+ FE0 Auto MY25","Medium SUV","SUV","BEV",NA,40,130,"5 star, 2022",5,2022,NA,504,19.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Polestar 3","polestar 3","2025 Polestar 3 Long Range Single Motor Auto MY25","Large SUV","SUV","BEV",116754,32,250,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Polestar 4","polestar 4","2025 Polestar 4 Long range Single motor Auto MY26","Large SUV","SUV","BEV",78500,28,150,"5 star, 2025",5,2025,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Porsche Macan","porsche macan","2025 Porsche Macan GTS XAB Auto AWD MY26","Medium SUV","SUV","BEV",171100,21,270,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Renault Megane E-Tech","renault megane e tech","2024 Renault Megane E-Tech Techno EV60 Auto MY24","Small SUV","SUV","BEV",54990,30,130,"5 star, 2022",5,2022,NA,454,15.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Skoda Elroq","skoda elroq","2025 SKODA Elroq 85 Select Auto MY25","Medium SUV","SUV","BEV",54990,28,175,"Unrated",NA,NA,NA,540,16.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Skoda Enyaq","skoda enyaq","2025 SKODA Enyaq Sportline Auto MY25","Medium SUV","SUV","BEV",69990,28,175,"5 star, 2021",5,2021,NA,561,15.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Subaru Solterra","subaru solterra","2025 Subaru Solterra AWD E1-1 Auto AWD MY25","Medium SUV","SUV","BEV",69990,30,150,"5 star, 2022",5,2022,NA,485,14.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Tesla Model Y","tesla model y","2025 Tesla Model Y Rear-Wheel Drive Auto","Medium SUV","SUV","BEV",55900,NA,NA,"Unrated",NA,NA,NA,510,14.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Toyota bZ4X","toyota bz4x","2025 Toyota bZ4X Auto 2WD","Medium SUV","SUV","BEV",66000,45,150,"5 star, 2022",5,2022,NA,535,12.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volkswagen ID.4","volkswagen id 4","2025 Volkswagen ID.4 Pro E2 Auto MY25","Medium SUV","SUV","BEV",59990,22,175,"5 star, 2021",5,2021,NA,544,16.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volkswagen ID.5","volkswagen id 5","2025 Volkswagen ID.5 Pro E2 Auto MY25","Medium SUV","SUV","BEV",62990,30,175,"5 star, 2021",5,2021,NA,543,16.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo EX30","volvo ex30","2025 Volvo EX30 Single Motor Extended Range Plus Auto MY25","Small SUV","SUV","BEV",59990,30,175,"5 star, 2024",5,2024,NA,462,17.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Volvo EX90","volvo ex90","2025 Volvo EX90 Plus Twin Motor Auto AWD MY25","Large SUV","SUV","BEV",124990,30,175,"Unrated",NA,NA,NA,570,22,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Zeekr 7X","zeekr 7x","2025 Zeekr 7X Performance Auto AWD","Medium SUV","SUV","BEV",72900,13,450,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Zeekr X","zeekr x","2025 Zeekr X RWD Auto MY24","Small SUV","SUV","BEV",49900,30,150,"5 star, 2024",5,2024,NA,540,13.9,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Shark 6","byd shark 6","2025 BYD SHARK 6 Premium Auto AWD","Ute (4WD)","light_commercial","PHEV",57900,35,50,"5 star, 2025",5,2025,NA,100,21.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ford Ranger","ford ranger","2025 Ford Ranger PHEV Wildtrak Auto 4WD MY26.00 Double Cab","Ute (4WD)","light_commercial","PHEV",79990,240,5,"Unrated",NA,NA,NA,49,18.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Ford Transit Custom","ford transit custom","2025 Ford E-Transit Custom Sport SWB AV SWB Auto 26.00MY","Van","light_commercial","PHEV",69990,255,5,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","GWM Cannon Alpha","gwm cannon alpha","2025 GWM Cannon Alpha Lux PHEV Auto 4WD Dual Cab","Ute (4WD)","light_commercial","PHEV",59990,24,50,"5 star, 2024",5,2024,NA,115,30.3,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
