"make","model","period","geography","rank","vehicle_type_reported","sales","unit","source_id.x","notes.x","canonical_model","vehicle_type","powertrain_profile","confidence","source_id.y","notes.y"
"Isuzu","MU-X",2024,"Australia",15,"Large SUV",17978,"vehicles","chasingcars_2024_top100","D-Max-based SUV.","Isuzu MU-X","SUV","ICE_diesel","high","chasingcars_2024_top100","Diesel SUV."
"Nissan","X-Trail",2024,"Australia",16,"Midsize SUV",17494,"vehicles","chasingcars_2024_top100","Includes e-Power hybrid variants.","Nissan X-Trail","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Includes e-Power hybrid variants."
"Hyundai","Kona",2024,"Australia",17,"Small SUV",17374,"vehicles","chasingcars_2024_top100","Includes ICE, HEV, and BEV variants.","Hyundai Kona","SUV","mixed_ICE_HEV_BEV","medium","chasingcars_2024_top100","Includes ICE, hybrid, and electric variants."
"Tesla","Model 3",2024,"Australia",18,"Midsize car",17094,"vehicles","chasingcars_2024_top100","BEV.","Tesla Model 3","passenger","BEV","high","chasingcars_2024_top100","BEV only."
"Kia","Cerato",2024,"Australia",19,"Small car",15502,"vehicles","chasingcars_2024_top100",NA,"Kia Cerato","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","Camry",2024,"Australia",20,"Midsize car",15401,"vehicles","chasingcars_2024_top100","Hybrid-heavy; model became hybrid-only in later Australian supply.","Toyota Camry","passenger","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid-heavy; sub-split needed."
"Toyota","LandCruiser",2024,"Australia",21,"Large SUV",15257,"vehicles","chasingcars_2024_top100",NA,"Toyota LandCruiser","SUV","ICE_diesel","medium","chasingcars_2024_top100","Includes 300 Series style listing; exact series split unclear."
"Mazda","BT-50",2024,"Australia",22,"Ute",15164,"vehicles","chasingcars_2024_top100",NA,"Mazda BT-50","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"GWM Haval","Jolion",2024,"Australia",23,"Small SUV",14238,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","GWM Haval Jolion","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Subaru","Forester",2024,"Australia",24,"Midsize SUV",13445,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Subaru Forester","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Hyundai","i30",2024,"Australia",25,"Small car",12682,"vehicles","chasingcars_2024_top100",NA,"Hyundai i30","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mazda","CX-30",2024,"Australia",26,"Small SUV",12672,"vehicles","chasingcars_2024_top100",NA,"Mazda CX-30","SUV","ICE_petrol","medium","chasingcars_2024_top100","Mild-hybrid variants possible but not plug-in."
"MG","MG3",2024,"Australia",27,"City car",12563,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid generations depending launch timing.","MG MG3","passenger","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid+ arrived with new generation."
"Mitsubishi","ASX",2024,"Australia",28,"Small SUV",12330,"vehicles","chasingcars_2024_top100",NA,"Mitsubishi ASX","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","LC70",2024,"Australia",29,"Ute",11929,"vehicles","chasingcars_2024_top100","LandCruiser 70 Series.","Toyota LandCruiser 70","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Listed as ute in Chasing Cars table."
"Subaru","Crosstrek",2024,"Australia",30,"Small SUV",11545,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Subaru Crosstrek","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","3",2024,"Australia",31,"Small car",10528,"vehicles","chasingcars_2024_top100",NA,"Mazda 3","passenger","ICE_petrol","medium","chasingcars_2024_top100","Mild-hybrid variants possible but not plug-in."
"Subaru","Outback",2024,"Australia",32,"Large SUV",10227,"vehicles","chasingcars_2024_top100",NA,"Subaru Outback","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Kia","Carnival",2024,"Australia",33,"People-mover",10080,"vehicles","chasingcars_2024_top100",NA,"Kia Carnival","people_mover","ICE_petrol_or_diesel","medium","chasingcars_2024_top100","Hybrid arrived around 2024; sub-split needed if material."
"Nissan","Navara",2024,"Australia",34,"Ute",10063,"vehicles","chasingcars_2024_top100",NA,"Nissan Navara","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Toyota","Kluger",2024,"Australia",35,"Large SUV",9868,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Toyota Kluger","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Toyota","Prado",2024,"Australia",36,"Large SUV",9802,"vehicles","chasingcars_2024_top100",NA,"Toyota Prado","SUV","ICE_diesel","medium","chasingcars_2024_top100",NA
"Kia","Sorento",2024,"Australia",37,"Large SUV",9791,"vehicles","chasingcars_2024_top100","Includes petrol, diesel, hybrid, and PHEV variants.","Kia Sorento","SUV","mixed_ICE_HEV_PHEV","medium","chasingcars_2024_top100",NA
"Suzuki","Jimny",2024,"Australia",38,"Small SUV",9697,"vehicles","chasingcars_2024_top100",NA,"Suzuki Jimny","SUV","ICE_petrol","high","chasingcars_2024_top100",NA
"Mitsubishi","Eclipse Cross",2024,"Australia",39,"Small SUV",9221,"vehicles","chasingcars_2024_top100","Includes ICE and PHEV variants.","Mitsubishi Eclipse Cross","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"GWM Haval","H6",2024,"Australia",40,"Midsize SUV",8973,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","GWM Haval H6","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Toyota","Corolla Cross",2024,"Australia",41,"Small SUV",8902,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Toyota Corolla Cross","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Volkswagen","Amarok",2024,"Australia",42,"Ute",8400,"vehicles","chasingcars_2024_top100",NA,"Volkswagen Amarok","light_commercial","ICE_diesel_or_petrol","medium","chasingcars_2024_top100",NA
"Nissan","Patrol",2024,"Australia",43,"Large SUV",8293,"vehicles","chasingcars_2024_top100",NA,"Nissan Patrol","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","Yaris Cross",2024,"Australia",44,"Small SUV",8206,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Toyota Yaris Cross","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"GWM","Ute",2024,"Australia",45,"Ute",8161,"vehicles","chasingcars_2024_top100",NA,"GWM Ute","light_commercial","ICE_diesel","medium","chasingcars_2024_top100",NA
"Volkswagen","T-Roc",2024,"Australia",46,"Small SUV",7777,"vehicles","chasingcars_2024_top100",NA,"Volkswagen T-Roc","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mitsubishi","Pajero Sport",2024,"Australia",47,"Large SUV",7306,"vehicles","chasingcars_2024_top100",NA,"Mitsubishi Pajero Sport","SUV","ICE_diesel","high","chasingcars_2024_top100",NA
"Hyundai","Venue",2024,"Australia",48,"Small SUV",6949,"vehicles","chasingcars_2024_top100",NA,"Hyundai Venue","SUV","ICE_petrol","high","chasingcars_2024_top100",NA
"MG","MG4",2024,"Australia",49,"Small car",6934,"vehicles","chasingcars_2024_top100","BEV.","MG MG4","passenger","BEV","high","chasingcars_2024_top100","BEV only."
"Nissan","Qashqai",2024,"Australia",50,"Small SUV",6560,"vehicles","chasingcars_2024_top100","Includes mild-hybrid/e-Power depending variant availability.","Nissan Qashqai","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Includes e-Power."
"BYD","Seal",2024,"Australia",51,"Midsize car",6393,"vehicles","chasingcars_2024_top100","BEV.","BYD Seal","passenger","BEV","high","chasingcars_2024_top100","BEV only."
"LDV","T60",2024,"Australia",52,"Ute",6330,"vehicles","chasingcars_2024_top100","Diesel in 2024 top seller context; electric eT60 low-volume separate treatment uncertain.","LDV T60","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Electric eT60 exists but VFACTS model treatment needs verification."
"BYD","Sealion 6",2024,"Australia",53,"Midsize SUV",6198,"vehicles","chasingcars_2024_top100","PHEV.","BYD Sealion 6","SUV","PHEV","high","chasingcars_2024_top100","PHEV only in 2024 Australian launch."
"Kia","Stonic",2024,"Australia",54,"Small SUV",6189,"vehicles","chasingcars_2024_top100",NA,"Kia Stonic","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Chery","Omoda 5",2024,"Australia",55,"Small SUV",6162,"vehicles","chasingcars_2024_top100","Mostly ICE in 2024; EV variant treatment to verify.","Chery Omoda 5","SUV","ICE_petrol","medium","chasingcars_2024_top100","EV variant treatment to verify."
"Suzuki","Swift",2024,"Australia",56,"City car",6126,"vehicles","chasingcars_2024_top100","Includes mild hybrid depending variant/generation.","Suzuki Swift","passenger","mixed_ICE_HEV","low","chasingcars_2024_top100","Mild-hybrid/HEV classification depends coding."
"Lexus","NX",2024,"Australia",57,"Midsize SUV",6123,"vehicles","chasingcars_2024_top100","Includes HEV and PHEV variants.","Lexus NX","SUV","mixed_ICE_HEV_PHEV","medium","chasingcars_2024_top100",NA
"Kia","Picanto",2024,"Australia",58,"Micro car",5822,"vehicles","chasingcars_2024_top100",NA,"Kia Picanto","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"BYD","Atto 3",2024,"Australia",59,"Midsize SUV",5751,"vehicles","chasingcars_2024_top100","BEV.","BYD Atto 3","SUV","BEV","high","chasingcars_2024_top100","BEV only."
"Honda","CR-V",2024,"Australia",60,"Midsize SUV",5547,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Honda CR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Audi","Q3",2024,"Australia",61,"Small SUV",5497,"vehicles","chasingcars_2024_top100",NA,"Audi Q3","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100",NA
"Hyundai","Santa Fe",2024,"Australia",62,"Large SUV",5392,"vehicles","chasingcars_2024_top100","Includes hybrid variants.","Hyundai Santa Fe","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","2",2024,"Australia",63,"City car",5365,"vehicles","chasingcars_2024_top100",NA,"Mazda 2","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Volkswagen","Tiguan",2024,"Australia",64,"Midsize SUV",4582,"vehicles","chasingcars_2024_top100",NA,"Volkswagen Tiguan","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"MG","HS",2024,"Australia",65,"Midsize SUV",4552,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","MG HS","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"BMW","X1",2024,"Australia",66,"Small SUV",4536,"vehicles","chasingcars_2024_top100","Includes ICE and EV/iX1 depending VFACTS model treatment.","BMW X1","SUV","mixed_ICE_BEV","low","chasingcars_2024_top100","iX1 treatment may be separate or combined; verify."
"Mercedes-Benz","GLC",2024,"Australia",67,"Midsize SUV",4438,"vehicles","chasingcars_2024_top100","Includes mild-hybrid/PHEV variants.","Mercedes-Benz GLC","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Volkswagen","Tiguan Allspace",2024,"Australia",68,"Large SUV",4211,"vehicles","chasingcars_2024_top100",NA,"Volkswagen Tiguan Allspace","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Honda","ZR-V",2024,"Australia",69,"Midsize SUV",4092,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Honda ZR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","CX-60",2024,"Australia",70,"Midsize SUV",4058,"vehicles","chasingcars_2024_top100","Includes ICE mild-hybrid and PHEV variants.","Mazda CX-60","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"GWM","Tank 300",2024,"Australia",71,"Large SUV",3968,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","GWM Tank 300","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"GWM Haval","H6 GT",2024,"Australia",72,"Midsize SUV",3443,"vehicles","chasingcars_2024_top100",NA,"GWM Haval H6 GT","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"BMW","X3",2024,"Australia",73,"Midsize SUV",3374,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","BMW X3","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Honda","HR-V",2024,"Australia",74,"Small SUV",3350,"vehicles","chasingcars_2024_top100","Includes petrol and hybrid variants.","Honda HR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Porsche","Macan",2024,"Australia",75,"Midsize SUV",3323,"vehicles","chasingcars_2024_top100","Mostly ICE in 2024; EV launch timing to verify.","Porsche Macan","SUV","mixed_ICE_BEV","low","chasingcars_2024_top100","EV timing/model treatment needs verification."
"Ram","1500",2024,"Australia",76,"Ute",3239,"vehicles","chasingcars_2024_top100",NA,"Ram 1500","light_commercial","ICE_petrol","medium","chasingcars_2024_top100",NA
"Land Rover","Defender",2024,"Australia",77,"Large SUV",3209,"vehicles","chasingcars_2024_top100",NA,"Land Rover Defender","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100",NA
"Ssangyong","Musso",2024,"Australia",78,"Ute",3197,"vehicles","chasingcars_2024_top100",NA,"Ssangyong Musso","light_commercial","ICE_diesel","high","chasingcars_2024_top100",NA
"BMW","X5",2024,"Australia",79,"Large SUV",3157,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","BMW X5","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Volvo","XC40",2024,"Australia",80,"Small SUV",3142,"vehicles","chasingcars_2024_top100","Includes ICE/mild-hybrid and BEV depending VFACTS treatment.","Volvo XC40","SUV","mixed_ICE_BEV","low","chasingcars_2024_top100","EX40/XC40 Recharge treatment needs verification."
"Mercedes-Benz","GLA",2024,"Australia",81,"Small SUV",3103,"vehicles","chasingcars_2024_top100",NA,"Mercedes-Benz GLA","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Hyundai","Palisade",2024,"Australia",82,"Large SUV",3062,"vehicles","chasingcars_2024_top100",NA,"Hyundai Palisade","SUV","ICE_diesel_or_petrol","medium","chasingcars_2024_top100",NA
"Toyota","Fortuner",2024,"Australia",83,"Large SUV",3042,"vehicles","chasingcars_2024_top100",NA,"Toyota Fortuner","SUV","ICE_diesel","high","chasingcars_2024_top100",NA
"Suzuki","Vitara",2024,"Australia",84,"Small SUV",2934,"vehicles","chasingcars_2024_top100",NA,"Suzuki Vitara","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Volkswagen","Golf",2024,"Australia",85,"Small car",2929,"vehicles","chasingcars_2024_top100",NA,"Volkswagen Golf","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","C-HR",2024,"Australia",86,"Small SUV",2828,"vehicles","chasingcars_2024_top100","Hybrid-only/new-gen mix to verify.","Toyota C-HR","SUV","HEV","low","chasingcars_2024_top100","Check 2024 transition; likely hybrid-only for new generation."
"Audi","Q5",2024,"Australia",87,"Midsize SUV",2737,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","Audi Q5","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Chery","Tiggo 7 Pro",2024,"Australia",88,"Midsize SUV",2734,"vehicles","chasingcars_2024_top100",NA,"Chery Tiggo 7 Pro","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mazda","CX-8",2024,"Australia",89,"Large SUV",2647,"vehicles","chasingcars_2024_top100",NA,"Mazda CX-8","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100",NA
"BMW","3 Series",2024,"Australia",90,"Midsize car",2472,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","BMW 3 Series","passenger","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Ford","F-150",2024,"Australia",91,"Ute",2428,"vehicles","chasingcars_2024_top100",NA,"Ford F-150","light_commercial","ICE_petrol","medium","chasingcars_2024_top100",NA
"Chevrolet","Silverado",2024,"Australia",92,"Ute",2389,"vehicles","chasingcars_2024_top100",NA,"Chevrolet Silverado","light_commercial","ICE_petrol_or_diesel","medium","chasingcars_2024_top100",NA
"Audi","A3",2024,"Australia",93,"Small car",2375,"vehicles","chasingcars_2024_top100",NA,"Audi A3","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"LDV","D90",2024,"Australia",94,"Large SUV",2358,"vehicles","chasingcars_2024_top100",NA,"LDV D90","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","Yaris",2024,"Australia",95,"City car",2263,"vehicles","chasingcars_2024_top100","Hybrid-only/new-gen mix to verify.","Toyota Yaris","passenger","HEV","low","chasingcars_2024_top100","Check 2024 transition; likely hybrid-only after update."
"Range Rover","Sport",2024,"Australia",96,"Large SUV",2206,"vehicles","chasingcars_2024_top100","Includes ICE/PHEV depending variant availability.","Range Rover Sport","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Subaru","WRX",2024,"Australia",97,"Small car",2188,"vehicles","chasingcars_2024_top100",NA,"Subaru WRX","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Volkswagen","Polo",2024,"Australia",98,"City car",2154,"vehicles","chasingcars_2024_top100",NA,"Volkswagen Polo","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Volvo","EX30",2024,"Australia",99,"Small SUV",2129,"vehicles","chasingcars_2024_top100","BEV.","Volvo EX30","SUV","BEV","high","chasingcars_2024_top100","BEV only."
"BYD","Dolphin",2024,"Australia",100,"City car",2116,"vehicles","chasingcars_2024_top100","BEV.","BYD Dolphin","passenger","BEV","high","chasingcars_2024_top100","BEV only."
