"make","model","period","geography","rank","vehicle_type_reported","sales","unit","source_id.x","notes.x","canonical_model","vehicle_type","powertrain_profile","confidence","source_id.y","notes.y"
"Nissan","X-Trail","2019","Australia",11,"Midsize SUV",19726,"vehicles","carsguide_2019_top100","Top-100 model list.","Nissan X-Trail","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Includes e-Power hybrid variants."
"Toyota","Prado","2019","Australia",12,"Large SUV",18335,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Prado","SUV","ICE_diesel","medium","chasingcars_2024_top100",NA
"Hyundai","Tucson","2019","Australia",13,"Midsize SUV",18251,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai Tucson","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Mitsubishi","Outlander","2019","Australia",14,"Midsize SUV",17514,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Outlander","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100","PHEV variant significant but total includes ICE."
"Holden","Colorado","2019","Australia",15,"Ute",17472,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Colorado","light_commercial","ICE_diesel","medium","carsguide_2020_top100","Diesel ute."
"Isuzu","D-Max","2019","Australia",16,"Ute",16892,"vehicles","carsguide_2019_top100","Top-100 model list.","Isuzu D-Max","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Toyota","Camry","2019","Australia",17,"Midsize car",16768,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Camry","passenger","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid-heavy; sub-split needed."
"Subaru","Forester","2019","Australia",18,"Midsize SUV",15096,"vehicles","carsguide_2019_top100","Top-100 model list.","Subaru Forester","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","CX-3","2019","Australia",19,"Small SUV",14813,"vehicles","carsguide_2019_top100","Top-100 model list.","Mazda CX-3","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Volkswagen","Golf","2019","Australia",20,"Small car",14355,"vehicles","carsguide_2019_top100","Top-100 model list.","Volkswagen Golf","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Honda","CR-V","2019","Australia",21,"Midsize SUV",13810,"vehicles","carsguide_2019_top100","Top-100 model list.","Honda CR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Toyota","LandCruiser","2019","Australia",22,"Upper Large SUV",13802,"vehicles","carsguide_2019_top100","Listed as Toyota LandCruiser 200 Series in source.","Toyota LandCruiser","SUV","ICE_diesel","medium","chasingcars_2024_top100","Includes 300 Series style listing; exact series split unclear."
"Kia","Sportage","2019","Australia",23,"Midsize SUV",13645,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Sportage","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Nissan","Navara","2019","Australia",24,"Ute",13412,"vehicles","carsguide_2019_top100","Top-100 model list.","Nissan Navara","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Hyundai","Kona","2019","Australia",25,"Small SUV",13342,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai Kona","SUV","mixed_ICE_HEV_BEV","medium","chasingcars_2024_top100","Includes ICE, hybrid, and electric variants."
"Honda","HR-V","2019","Australia",26,"Small SUV",11731,"vehicles","carsguide_2019_top100","Top-100 model list.","Honda HR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Nissan","Qashqai","2019","Australia",27,"Small SUV",11653,"vehicles","carsguide_2019_top100","Top-100 model list.","Nissan Qashqai","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Includes e-Power."
"Toyota","Kluger","2019","Australia",28,"Large SUV",11371,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Kluger","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","BT-50","2019","Australia",29,"Ute",11357,"vehicles","carsguide_2019_top100","Top-100 model list.","Mazda BT-50","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Honda","Civic","2019","Australia",30,"Small car",10531,"vehicles","carsguide_2019_top100","Top-100 model list.","Honda Civic","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"Subaru","XV","2019","Australia",31,"Small SUV",10062,"vehicles","carsguide_2019_top100","Top-100 model list.","Subaru XV","SUV","mixed_ICE_HEV","medium","carsguide_2020_top100","Includes petrol and hybrid variants depending year."
"Hyundai","Accent","2019","Australia",32,"Light car",9963,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai Accent","passenger","ICE_petrol","medium","carsguide_2019_top100",NA
"Toyota","Yaris","2019","Australia",33,"Light car",9853,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Yaris","passenger","HEV","low","chasingcars_2024_top100","Check 2024 transition; likely hybrid-only after update."
"Toyota","C-HR","2019","Australia",34,"Small SUV",9378,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota C-HR","SUV","HEV","low","chasingcars_2024_top100","Check 2024 transition; likely hybrid-only for new generation."
"Toyota","LC70","2019","Australia",35,"Ute",9222,"vehicles","carsguide_2019_top100","Listed as Toyota LandCruiser 70 Series in source.","Toyota LandCruiser 70","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Listed as ute in Chasing Cars table."
"Isuzu","MU-X","2019","Australia",36,"Large SUV",8419,"vehicles","carsguide_2019_top100","Top-100 model list.","Isuzu MU-X","SUV","ICE_diesel","high","chasingcars_2024_top100","Diesel SUV."
"Volkswagen","Amarok","2019","Australia",37,"Ute",8371,"vehicles","carsguide_2019_top100","Top-100 model list.","Volkswagen Amarok","light_commercial","ICE_diesel_or_petrol","medium","chasingcars_2024_top100",NA
"Mazda","2","2019","Australia",38,"Light car",8198,"vehicles","carsguide_2019_top100","Listed as Mazda2 in source.","Mazda 2","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Volkswagen","Tiguan","2019","Australia",39,"Midsize SUV",7747,"vehicles","carsguide_2019_top100","Top-100 model list.","Volkswagen Tiguan","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Subaru","Outback","2019","Australia",40,"Large SUV",7210,"vehicles","carsguide_2019_top100","Top-100 model list.","Subaru Outback","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mazda","CX-9","2019","Australia",41,"Large SUV",7168,"vehicles","carsguide_2019_top100","Top-100 model list.","Mazda CX-9","SUV","ICE_petrol","medium","carsguide_2020_top100",NA
"Mitsubishi","Eclipse Cross","2019","Australia",42,"Small SUV",6998,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Eclipse Cross","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Mercedes-Benz","C-Class","2019","Australia",43,"Midsize car",6798,"vehicles","carsguide_2019_top100","Top-100 model list.","Mercedes-Benz C-Class","passenger","mixed_ICE_PHEV","medium","carsguide_2020_top100","Includes ICE/PHEV depending variant availability; likely mostly ICE."
"Suzuki","Swift","2019","Australia",44,"Light car",6676,"vehicles","carsguide_2019_top100","Top-100 model list.","Suzuki Swift","passenger","mixed_ICE_HEV","low","chasingcars_2024_top100","Mild-hybrid/HEV classification depends coding."
"Kia","Carnival","2019","Australia",45,"People-mover",6493,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Carnival","people_mover","ICE_petrol_or_diesel","medium","chasingcars_2024_top100","Hybrid arrived around 2024; sub-split needed if material."
"Mitsubishi","Pajero Sport","2019","Australia",46,"Large SUV",6477,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Pajero Sport","SUV","ICE_diesel","high","chasingcars_2024_top100",NA
"Kia","Rio","2019","Australia",47,"Light car",6270,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Rio","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"Toyota","HiAce","2019","Australia",48,"Van",6127,"vehicles","carsguide_2019_top100","Listed as Toyota HiAce Van in source.","Toyota HiAce","light_commercial","ICE_diesel_or_petrol","medium","carsguide_2020_top100","Van; treat as light commercial for fleet-type analysis."
"Holden","Commodore","2019","Australia",49,"Large car",5915,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Commodore","passenger","ICE_petrol_or_diesel","medium","carsguide_2019_top100",NA
"Hyundai","Santa Fe","2019","Australia",50,"Large SUV",5857,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai Santa Fe","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mercedes-Benz","GLC","2019","Australia",51,"Midsize SUV",5770,"vehicles","carsguide_2019_top100","Top-100 model list.","Mercedes-Benz GLC","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Volkswagen","Polo","2019","Australia",52,"Light car",5723,"vehicles","carsguide_2019_top100","Top-100 model list.","Volkswagen Polo","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Ford","Everest","2019","Australia",53,"Large SUV",5333,"vehicles","carsguide_2019_top100","Top-100 model list.","Ford Everest","SUV","ICE_diesel","medium","chasingcars_2024_top100","Ranger-derived diesel SUV in 2024."
"Honda","Jazz","2019","Australia",54,"Light car",5263,"vehicles","carsguide_2019_top100","Top-100 model list.","Honda Jazz","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"Suzuki","Vitara","2019","Australia",55,"Small SUV",5253,"vehicles","carsguide_2019_top100","Top-100 model list.","Suzuki Vitara","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Kia","Picanto","2019","Australia",56,"Micro car",5237,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Picanto","passenger","ICE_petrol","high","chasingcars_2024_top100",NA
"Holden","Trax","2019","Australia",57,"Small SUV",4808,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Trax","SUV","ICE_petrol","medium","carsguide_2020_top100",NA
"Mercedes-Benz","A-Class","2019","Australia",58,"Small car",4689,"vehicles","carsguide_2019_top100","Top-100 model list.","Mercedes-Benz A-Class","passenger","ICE_petrol_or_diesel","medium","carsguide_2020_top100",NA
"Volkswagen","Tiguan Allspace","2019","Australia",59,"Large SUV",4665,"vehicles","carsguide_2019_top100","Top-100 model list.","Volkswagen Tiguan Allspace","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"BMW","X3","2019","Australia",60,"Midsize SUV",4583,"vehicles","carsguide_2019_top100","Top-100 model list.","BMW X3","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Holden","Equinox","2019","Australia",61,"Midsize SUV",4562,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Equinox","SUV","ICE_petrol_or_diesel","medium","carsguide_2019_top100",NA
"Subaru","Impreza","2019","Australia",62,"Small car",4518,"vehicles","carsguide_2019_top100","Top-100 model list.","Subaru Impreza","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"Holden","Astra","2019","Australia",63,"Small car",4188,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Astra","passenger","ICE_petrol","medium","carsguide_2019_top100",NA
"Audi","Q5","2019","Australia",64,"Midsize SUV",4152,"vehicles","carsguide_2019_top100","Top-100 model list.","Audi Q5","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"MG","MG3","2019","Australia",65,"Light car",4017,"vehicles","carsguide_2019_top100","Top-100 model list.","MG MG3","passenger","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid+ arrived with new generation."
"Ford","Mustang","2019","Australia",66,"Sports car",3948,"vehicles","carsguide_2019_top100","Top-100 model list.","Ford Mustang","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"Hyundai","iLoad","2019","Australia",67,"Van",3919,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai iLoad","light_commercial","ICE_diesel_or_petrol","medium","carsguide_2020_top100","Van; treat as light commercial for fleet-type analysis."
"Kia","Sorento","2019","Australia",68,"Large SUV",3777,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Sorento","SUV","mixed_ICE_HEV_PHEV","medium","chasingcars_2024_top100",NA
"MG","ZS","2019","Australia",69,"Small SUV",3729,"vehicles","carsguide_2019_top100","Top-100 model list.","MG ZS","SUV","mixed_ICE_BEV_HEV","low","chasingcars_2024_top100","Model-generation change and EV treatment need verification."
"Ford","Focus","2019","Australia",70,"Small car",3682,"vehicles","carsguide_2019_top100","Top-100 model list.","Ford Focus","passenger","ICE_petrol","medium","carsguide_2019_top100",NA
"LDV","T60","2019","Australia",71,"Ute",3529,"vehicles","carsguide_2019_top100","Top-100 model list.","LDV T60","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Electric eT60 exists but VFACTS model treatment needs verification."
"BMW","X5","2019","Australia",72,"Large SUV",3498,"vehicles","carsguide_2019_top100","Top-100 model list.","BMW X5","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Lexus","NX","2019","Australia",73,"Midsize SUV",3471,"vehicles","carsguide_2019_top100","Top-100 model list.","Lexus NX","SUV","mixed_ICE_HEV_PHEV","medium","chasingcars_2024_top100",NA
"Volvo","XC60","2019","Australia",74,"Midsize SUV",3406,"vehicles","carsguide_2019_top100","Top-100 model list.","Volvo XC60","SUV","mixed_ICE_PHEV","medium","carsguide_2020_top100","Includes ICE/PHEV depending variant availability."
"Audi","A3","2019","Australia",75,"Small car",3362,"vehicles","carsguide_2019_top100","Top-100 model list.","Audi A3","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Ford","Escape","2019","Australia",76,"Midsize SUV",3326,"vehicles","carsguide_2019_top100","Top-100 model list.","Ford Escape","SUV","ICE_petrol","medium","carsguide_2020_top100",NA
"BMW","3 Series","2019","Australia",77,"Midsize car",3135,"vehicles","carsguide_2019_top100","Top-100 model list.","BMW 3 Series","passenger","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Holden","Acadia","2019","Australia",78,"Large SUV",3125,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Acadia","SUV","ICE_petrol","medium","carsguide_2019_top100",NA
"Toyota","Fortuner","2019","Australia",79,"Large SUV",3033,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Fortuner","SUV","ICE_diesel","high","chasingcars_2024_top100",NA
"Jeep","Grand Cherokee","2019","Australia",80,"Large SUV",2986,"vehicles","carsguide_2019_top100","Top-100 model list.","Jeep Grand Cherokee","SUV","ICE_petrol_or_diesel","medium","carsguide_2020_top100",NA
"Volvo","XC40","2019","Australia",81,"Small SUV",2858,"vehicles","carsguide_2019_top100","Top-100 model list.","Volvo XC40","SUV","mixed_ICE_BEV","low","chasingcars_2024_top100","EX40/XC40 Recharge treatment needs verification."
"BMW","X1","2019","Australia",82,"Small SUV",2847,"vehicles","carsguide_2019_top100","Top-100 model list.","BMW X1","SUV","mixed_ICE_BEV","low","chasingcars_2024_top100","iX1 treatment may be separate or combined; verify."
"Mitsubishi","Pajero","2019","Australia",83,"Large SUV",2847,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Pajero","SUV","ICE_diesel","medium","carsguide_2020_top100",NA
"Holden","Trailblazer","2019","Australia",84,"Large SUV",2813,"vehicles","carsguide_2019_top100","Top-100 model list.","Holden Trailblazer","SUV","ICE_diesel","medium","carsguide_2019_top100",NA
"Nissan","Pathfinder","2019","Australia",85,"Large SUV",2712,"vehicles","carsguide_2019_top100","Top-100 model list.","Nissan Pathfinder","SUV","ICE_petrol","medium","carsguide_2019_top100",NA
"Hyundai","Elantra","2019","Australia",86,"Small car",2644,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai Elantra","passenger","ICE_petrol","medium","carsguide_2019_top100",NA
"Mazda","6","2019","Australia",87,"Midsize car",2612,"vehicles","carsguide_2019_top100","Listed as Mazda6 in source.","Mazda 6","passenger","ICE_petrol_or_diesel","medium","carsguide_2019_top100","Listed as Mazda6 in source."
"Ram","1500","2019","Australia",88,"Ute",2609,"vehicles","carsguide_2019_top100","Top-100 model list.","Ram 1500","light_commercial","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","HiAce Commuter","2019","Australia",89,"Bus",2577,"vehicles","carsguide_2019_top100","Listed as Toyota HiAce Bus in source.","Toyota HiAce Commuter","bus","ICE_diesel_or_petrol","medium","carsguide_2020_top100","Bus/people carrier variant; keep separate from light-commercial HiAce van."
"Mercedes-Benz","GLA","2019","Australia",90,"Small SUV",2562,"vehicles","carsguide_2019_top100","Top-100 model list.","Mercedes-Benz GLA","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mazda","CX-8","2019","Australia",91,"Large SUV",2551,"vehicles","carsguide_2019_top100","Top-100 model list.","Mazda CX-8","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100",NA
"Renault","Koleos","2019","Australia",92,"Midsize SUV",2533,"vehicles","carsguide_2019_top100","Top-100 model list.","Renault Koleos","SUV","ICE_petrol_or_diesel","medium","carsguide_2020_top100",NA
"Mercedes-Benz","C-Class Coupe/Cabriolet","2019","Australia",93,"Midsize car",2496,"vehicles","carsguide_2019_top100","Top-100 model list.","Mercedes-Benz C-Class Coupe/Cabriolet","passenger","ICE_petrol","medium","carsguide_2019_top100","Separated from sedan/wagon C-Class in CarsGuide 2019 source."
"Suzuki","Baleno","2019","Australia",94,"Light car",2277,"vehicles","carsguide_2019_top100","Top-100 model list.","Suzuki Baleno","passenger","ICE_petrol","medium","carsguide_2020_top100",NA
"BMW","1 Series","2019","Australia",95,"Small car",2269,"vehicles","carsguide_2019_top100","Top-100 model list.","BMW 1 Series","passenger","ICE_petrol_or_diesel","medium","carsguide_2020_top100",NA
"Range Rover","Sport","2019","Australia",96,"Large SUV",2202,"vehicles","carsguide_2019_top100","Top-100 model list.","Range Rover Sport","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100",NA
"Mitsubishi","Lancer","2019","Australia",97,"Small car",2197,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Lancer","passenger","ICE_petrol","medium","carsguide_2019_top100",NA
"Land Rover","Discovery Sport","2019","Australia",98,"Midsize SUV",2185,"vehicles","carsguide_2019_top100","Top-100 model list.","Land Rover Discovery Sport","SUV","ICE_diesel_or_petrol","medium","carsguide_2019_top100",NA
"Skoda","Kodiaq","2019","Australia",99,"Large SUV",2163,"vehicles","carsguide_2019_top100","Top-100 model list.","Skoda Kodiaq","SUV","ICE_petrol_or_diesel","medium","carsguide_2019_top100",NA
"Audi","Q2","2019","Australia",100,"Small SUV",2155,"vehicles","carsguide_2019_top100","Top-100 model list.","Audi Q2","SUV","ICE_petrol","medium","carsguide_2019_top100",NA
"Toyota","Hilux","2020","Australia",1,"Ute",45176,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota Hilux","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Dominantly diesel ute in Australian market."
"Ford","Ranger","2020","Australia",2,"Ute",40973,"vehicles","carsguide_2020_top100","Top-100 model list.","Ford Ranger","light_commercial","mixed_ICE_PHEV","medium","chasingcars_2024_top100","Mostly diesel in 2024; PHEV arrived in 2025, so 2024 can usually be treated as ICE unless modelling forward."
"Toyota","RAV4","2020","Australia",3,"Midsize SUV",38357,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota RAV4","SUV","mixed_ICE_HEV","high","chasingcars_2024_top100","2024 top-100 article reports 55902 hybrid sales out of 58718 total."
"Toyota","Corolla","2020","Australia",4,"Small car",25882,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota Corolla","passenger","HEV","medium","chasingcars_2024_top100","Article says Corolla went exclusively hybrid in 2024."
"Mazda","CX-5","2020","Australia",5,"Midsize SUV",21979,"vehicles","carsguide_2020_top100","Top-100 model list.","Mazda CX-5","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100","No plug-in variant in 2024 Australian mainstream sales."
"Hyundai","i30","2020","Australia",6,"Small car",20734,"vehicles","carsguide_2020_top100","Top-100 model list.","Hyundai i30","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mitsubishi","Triton","2020","Australia",7,"Ute",18136,"vehicles","carsguide_2020_top100","Top-100 model list.","Mitsubishi Triton","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Toyota","Prado","2020","Australia",8,"Large SUV",18034,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota Prado","SUV","ICE_diesel","medium","chasingcars_2024_top100",NA
"Kia","Cerato","2020","Australia",9,"Small car",17559,"vehicles","carsguide_2020_top100","Top-100 model list.","Kia Cerato","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Hyundai","Tucson","2020","Australia",10,"Midsize SUV",15789,"vehicles","carsguide_2020_top100","Top-100 model list.","Hyundai Tucson","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Toyota","LandCruiser","2020","Australia",11,"Upper Large SUV",15078,"vehicles","carsguide_2020_top100","Listed as Toyota LandCruiser wagon in source.","Toyota LandCruiser","SUV","ICE_diesel","medium","chasingcars_2024_top100","Includes 300 Series style listing; exact series split unclear."
"Isuzu","D-Max","2020","Australia",12,"Ute",15062,"vehicles","carsguide_2020_top100","Top-100 model list.","Isuzu D-Max","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Mazda","3","2020","Australia",13,"Small car",14663,"vehicles","carsguide_2020_top100","Listed as Mazda3 in source.","Mazda 3","passenger","ICE_petrol","medium","chasingcars_2024_top100","Mild-hybrid variants possible but not plug-in."
"Nissan","X-Trail","2020","Australia",14,"Midsize SUV",14291,"vehicles","carsguide_2020_top100","Top-100 model list.","Nissan X-Trail","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Includes e-Power hybrid variants."
"Mitsubishi","ASX","2020","Australia",15,"Small SUV",14056,"vehicles","carsguide_2020_top100","Top-100 model list.","Mitsubishi ASX","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mazda","CX-3","2020","Australia",16,"Small SUV",13953,"vehicles","carsguide_2020_top100","Top-100 model list.","Mazda CX-3","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Toyota","Camry","2020","Australia",17,"Midsize car",13727,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota Camry","passenger","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid-heavy; sub-split needed."
"Hyundai","Kona","2020","Australia",18,"Small SUV",12514,"vehicles","carsguide_2020_top100","Top-100 model list.","Hyundai Kona","SUV","mixed_ICE_HEV_BEV","medium","chasingcars_2024_top100","Includes ICE, hybrid, and electric variants."
"Subaru","Forester","2020","Australia",19,"Midsize SUV",12300,"vehicles","carsguide_2020_top100","Top-100 model list.","Subaru Forester","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mitsubishi","Outlander","2020","Australia",20,"Midsize SUV",12004,"vehicles","carsguide_2020_top100","Top-100 model list.","Mitsubishi Outlander","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100","PHEV variant significant but total includes ICE."
"Nissan","Navara","2020","Australia",21,"Ute",11486,"vehicles","carsguide_2020_top100","Top-100 model list.","Nissan Navara","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Toyota","LC70","2020","Australia",22,"Ute",10064,"vehicles","carsguide_2020_top100","Listed as Toyota LandCruiser 70 Series in source.","Toyota LandCruiser 70","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Listed as ute in Chasing Cars table."
"Volkswagen","Golf","2020","Australia",23,"Small car",10012,"vehicles","carsguide_2020_top100","Top-100 model list.","Volkswagen Golf","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Kia","Seltos","2020","Australia",24,"Small SUV",9966,"vehicles","carsguide_2020_top100","Top-100 model list.","Kia Seltos","SUV","ICE_petrol","medium","carsguide_2020_top100","No plug-in variant in 2020 Australian top-seller context."
"Mazda","BT-50","2020","Australia",25,"Ute",9588,"vehicles","carsguide_2020_top100","Top-100 model list.","Mazda BT-50","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Kia","Sportage","2020","Australia",26,"Midsize SUV",9579,"vehicles","carsguide_2020_top100","Top-100 model list.","Kia Sportage","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Honda","CR-V","2020","Australia",27,"Midsize SUV",9523,"vehicles","carsguide_2020_top100","Top-100 model list.","Honda CR-V","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Mazda","CX-30","2020","Australia",28,"Small SUV",8998,"vehicles","carsguide_2020_top100","Top-100 model list.","Mazda CX-30","SUV","ICE_petrol","medium","chasingcars_2024_top100","Mild-hybrid variants possible but not plug-in."
"Toyota","C-HR","2020","Australia",29,"Small SUV",8500,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota C-HR","SUV","HEV","low","chasingcars_2024_top100","Check 2024 transition; likely hybrid-only for new generation."
"Toyota","Kluger","2020","Australia",30,"Large SUV",8403,"vehicles","carsguide_2020_top100","Top-100 model list.","Toyota Kluger","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100",NA
"Toyota","HiAce","2020","Australia",31,"Van",8391,"vehicles","carsguide_2020_top100","Listed as Toyota HiAce van in source.","Toyota HiAce","light_commercial","ICE_diesel_or_petrol","medium","carsguide_2020_top100","Van; treat as light commercial for fleet-type analysis."
