period,geography,rank,make,model,vehicle_type_reported,sales,unit,source_id,notes
2021,Australia,9,Mitsubishi,Triton,Ute,19232,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,10,MG,ZS,Small SUV,18423,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,11,Kia,Cerato,Small car,18114,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,12,Mazda,BT-50,Ute,15662,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,13,Nissan,Navara,Ute,15113,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,14,Mitsubishi,ASX,Small SUV,14764,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,15,Mitsubishi,Outlander,Midsize SUV,14572,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,16,Toyota,LandCruiser,Upper Large SUV,14356,vehicles,carexpert_2021_full,"Listed as Toyota L'Cruiser Wagon in source."
2021,Australia,17,Hyundai,Tucson,Midsize SUV,14194,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,18,Mazda,3,Small car,14126,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,19,Nissan,X-Trail,Midsize SUV,13860,vehicles,carexpert_2021_full,"Top-20 model list."
2021,Australia,20,MG,MG3,Light car,13774,vehicles,carexpert_2021_full,"Top-20 model list."
2022,Australia,1,Toyota,Hilux,Ute,64391,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,2,Ford,Ranger,Ute,47479,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,3,Toyota,RAV4,Midsize SUV,34845,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,4,Mitsubishi,Triton,Ute,27436,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,5,Mazda,CX-5,Midsize SUV,27062,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,6,Toyota,Corolla,Small car,25284,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,7,Isuzu,D-Max,Ute,24336,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,8,MG,ZS,Small SUV,22466,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,9,Hyundai,i30,Small car,21166,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,10,Toyota,Prado,Large SUV,21102,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,11,Mitsubishi,Outlander,Midsize SUV,19546,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,12,Kia,Sportage,Midsize SUV,18792,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,13,Hyundai,Tucson,Midsize SUV,17870,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,14,MG,MG3,Light car,16168,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,15,Mazda,CX-30,Small SUV,13891,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,16,Toyota,LandCruiser,Upper Large SUV,13152,vehicles,carexpert_2022_full,"Listed as Toyota LandCruiser wagon in source."
2022,Australia,17,Mazda,BT-50,Ute,12937,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,18,Toyota,Kluger,Large SUV,12562,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,19,Kia,Cerato,Small car,12354,vehicles,carexpert_2022_full,"Top-20 model list."
2022,Australia,20,Mazda,CX-3,Light SUV,11907,vehicles,carexpert_2022_full,"Top-20 model list."
2020,Australia,1,Toyota,Hilux,Ute,45176,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,2,Ford,Ranger,Ute,40973,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,3,Toyota,RAV4,Midsize SUV,38357,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,4,Toyota,Corolla,Small car,25882,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,5,Mazda,CX-5,Midsize SUV,21979,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,6,Hyundai,i30,Small car,20734,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,7,Mitsubishi,Triton,Ute,18136,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,8,Toyota,Prado,Large SUV,18034,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,9,Kia,Cerato,Small car,17559,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,10,Hyundai,Tucson,Midsize SUV,15789,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,11,Toyota,LandCruiser,Upper Large SUV,15078,vehicles,carsguide_2020_top100,"Listed as Toyota LandCruiser wagon in source."
2020,Australia,12,Isuzu,D-Max,Ute,15062,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,13,Mazda,3,Small car,14663,vehicles,carsguide_2020_top100,"Listed as Mazda3 in source."
2020,Australia,14,Nissan,X-Trail,Midsize SUV,14291,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,15,Mitsubishi,ASX,Small SUV,14056,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,16,Mazda,CX-3,Small SUV,13953,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,17,Toyota,Camry,Midsize car,13727,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,18,Hyundai,Kona,Small SUV,12514,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,19,Subaru,Forester,Midsize SUV,12300,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,20,Mitsubishi,Outlander,Midsize SUV,12004,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,21,Nissan,Navara,Ute,11486,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,22,Toyota,LC70,Ute,10064,vehicles,carsguide_2020_top100,"Listed as Toyota LandCruiser 70 Series in source."
2020,Australia,23,Volkswagen,Golf,Small car,10012,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,24,Kia,Seltos,Small SUV,9966,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,25,Mazda,BT-50,Ute,9588,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,26,Kia,Sportage,Midsize SUV,9579,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,27,Honda,CR-V,Midsize SUV,9523,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,28,Mazda,CX-30,Small SUV,8998,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,29,Toyota,C-HR,Small SUV,8500,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,30,Toyota,Kluger,Large SUV,8403,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,31,Toyota,HiAce,Van,8391,vehicles,carsguide_2020_top100,"Listed as Toyota HiAce van in source."
2020,Australia,32,Honda,HR-V,Small SUV,8181,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,33,Subaru,XV,Small SUV,7946,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,34,Holden,Colorado,Ute,7559,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,35,Honda,Civic,Small car,7194,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,36,MG,MG3,Light car,7158,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,37,Nissan,Qashqai,Small SUV,7057,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,38,Isuzu,MU-X,Large SUV,7049,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,39,Mazda,CX-9,Large SUV,6747,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,40,Volkswagen,Amarok,Ute,6349,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,41,Mercedes-Benz,A-Class,Small car,6054,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,42,Mitsubishi,Pajero Sport,Large SUV,6017,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,43,Ford,Everest,Large SUV,5996,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,44,Volkswagen,Tiguan,Midsize SUV,5611,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,45,LDV,T60,Ute,5581,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,46,MG,ZS,Small SUV,5494,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,47,Toyota,Yaris,Light car,5027,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,48,Kia,Rio,Light car,4952,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,49,Subaru,Outback,Large SUV,4928,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,50,Hyundai,Santa Fe,Large SUV,4615,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,51,Kia,Sorento,Large SUV,4547,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,52,Mitsubishi,Eclipse Cross,Small SUV,4517,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,53,Mercedes-Benz,GLC,Midsize SUV,4470,vehicles,carsguide_2020_top100,"Listed as Mercedes-Benz GLC wagon in source."
2020,Australia,54,Suzuki,Vitara,Small SUV,4386,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,55,BMW,X3,Midsize SUV,4360,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,56,Suzuki,Swift,Light car,4332,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,57,Audi,Q3,Small SUV,4090,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,58,Hyundai,iLoad,Van,3939,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,59,Kia,Picanto,Micro car,3891,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,60,Mazda,2,Light car,3790,vehicles,carsguide_2020_top100,"Listed as Mazda2 in source."
2020,Australia,61,Mazda,CX-8,Large SUV,3738,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,62,Hyundai,Venue,Small SUV,3678,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,63,Kia,Carnival,People-mover,3650,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,64,Volkswagen,Polo,Light car,3602,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,65,Volkswagen,Tiguan Allspace,Large SUV,3537,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,66,Lexus,NX,Midsize SUV,3518,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,67,BMW,3 Series,Midsize car,3406,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,68,Subaru,Impreza,Small car,3390,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,69,Mercedes-Benz,C-Class,Midsize car,3378,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,70,Suzuki,Baleno,Light car,3326,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,71,Ram,1500,Ute,3299,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,72,Volvo,XC40,Small SUV,3229,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,73,Mercedes-Benz,GLA,Small SUV,3173,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,74,BMW,X1,Small SUV,3060,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,75,Audi,Q5,Midsize SUV,2992,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,76,BMW,X5,Large SUV,2956,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,77,Ford,Mustang,Sports car,2923,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,78,Toyota,Fortuner,Large SUV,2883,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,79,Jeep,Grand Cherokee,Large SUV,2870,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,80,Volvo,XC60,Midsize SUV,2858,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,81,Mercedes-Benz,GLE,Large SUV,2854,vehicles,carsguide_2020_top100,"Listed as Mercedes-Benz GLE wagon in source."
2020,Australia,82,Nissan,Patrol,Upper Large SUV,2820,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,83,Audi,A3,Small car,2778,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,84,Honda,Jazz,Light car,2692,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,85,Volkswagen,T-Cross,Small SUV,2646,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,86,MG,HS,Midsize SUV,2600,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,87,Renault,Koleos,Midsize SUV,2408,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,88,Mitsubishi,Pajero,Large SUV,2399,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,89,Mercedes-Benz,X-Class,Ute,2386,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,90,Ford,Transit Custom,Van,2379,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,91,Suzuki,Jimny,Small SUV,2368,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,92,Holden,Trax,Small SUV,2314,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,93,BMW,1 Series,Small car,2309,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,94,Porsche,Macan,Midsize SUV,2158,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,95,Skoda,Octavia,Midsize car,2111,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,96,Mercedes-Benz,CLA,Small car,2082,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,97,Toyota,HiAce Commuter,Bus,2027,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,98,Haval,H2,Small SUV,1988,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,99,Ford,Escape,Midsize SUV,1971,vehicles,carsguide_2020_top100,"Top-100 model list."
2020,Australia,100,Lexus,RX,Large SUV,1879,vehicles,carsguide_2020_top100,"Top-100 model list."
2019,Australia,1,Toyota,Hilux,Ute,47759,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,2,Ford,Ranger,Ute,40960,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,3,Toyota,Corolla,Small car,30468,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,4,Hyundai,i30,Small car,28378,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,5,Mitsubishi,Triton,Ute,25819,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,6,Mazda,CX-5,Midsize SUV,25539,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,7,Mazda,3,Small car,24939,vehicles,carsguide_2019_top100,"Listed as Mazda3 in source."
2019,Australia,8,Toyota,RAV4,Midsize SUV,24260,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,9,Kia,Cerato,Small car,21757,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,10,Mitsubishi,ASX,Small SUV,20806,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,11,Nissan,X-Trail,Midsize SUV,19726,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,12,Toyota,Prado,Large SUV,18335,vehicles,carsguide_2019_top100,"Top-100 model list."
2019,Australia,13,Hyundai,Tucson,Midsize SUV,18251,vehicles,carsguide_2019_top100,"Top-100 model list."
