make,model,canonical_model,vehicle_type,powertrain_profile,confidence,source_id,notes
GWM Haval,H6 GT,GWM Haval H6 GT,SUV,ICE_petrol,medium,chasingcars_2024_top100,""
BMW,X3,BMW X3,SUV,mixed_ICE_PHEV,medium,chasingcars_2024_top100,""
Honda,HR-V,Honda HR-V,SUV,mixed_ICE_HEV,medium,chasingcars_2024_top100,""
Porsche,Macan,Porsche Macan,SUV,mixed_ICE_BEV,low,chasingcars_2024_top100,"EV timing/model treatment needs verification."
Ram,1500,Ram 1500,light_commercial,ICE_petrol,medium,chasingcars_2024_top100,""
Land Rover,Defender,Land Rover Defender,SUV,ICE_petrol_or_diesel,medium,chasingcars_2024_top100,""
Ssangyong,Musso,Ssangyong Musso,light_commercial,ICE_diesel,high,chasingcars_2024_top100,""
BMW,X5,BMW X5,SUV,mixed_ICE_PHEV,medium,chasingcars_2024_top100,""
Volvo,XC40,Volvo XC40,SUV,mixed_ICE_BEV,low,chasingcars_2024_top100,"EX40/XC40 Recharge treatment needs verification."
Mercedes-Benz,GLA,Mercedes-Benz GLA,SUV,ICE_petrol,medium,chasingcars_2024_top100,""
Hyundai,Palisade,Hyundai Palisade,SUV,ICE_diesel_or_petrol,medium,chasingcars_2024_top100,""
Toyota,Fortuner,Toyota Fortuner,SUV,ICE_diesel,high,chasingcars_2024_top100,""
Suzuki,Vitara,Suzuki Vitara,SUV,ICE_petrol,medium,chasingcars_2024_top100,""
Volkswagen,Golf,Volkswagen Golf,passenger,ICE_petrol,medium,chasingcars_2024_top100,""
Toyota,C-HR,Toyota C-HR,SUV,HEV,low,chasingcars_2024_top100,"Check 2024 transition; likely hybrid-only for new generation."
Audi,Q5,Audi Q5,SUV,mixed_ICE_PHEV,medium,chasingcars_2024_top100,""
Chery,Tiggo 7 Pro,Chery Tiggo 7 Pro,SUV,ICE_petrol,medium,chasingcars_2024_top100,""
Mazda,CX-8,Mazda CX-8,SUV,ICE_petrol_or_diesel,medium,chasingcars_2024_top100,""
BMW,3 Series,BMW 3 Series,passenger,mixed_ICE_PHEV,medium,chasingcars_2024_top100,""
Ford,F-150,Ford F-150,light_commercial,ICE_petrol,medium,chasingcars_2024_top100,""
Chevrolet,Silverado,Chevrolet Silverado,light_commercial,ICE_petrol_or_diesel,medium,chasingcars_2024_top100,""
Audi,A3,Audi A3,passenger,ICE_petrol,medium,chasingcars_2024_top100,""
LDV,D90,LDV D90,SUV,ICE_petrol,medium,chasingcars_2024_top100,""
Toyota,Yaris,Toyota Yaris,passenger,HEV,low,chasingcars_2024_top100,"Check 2024 transition; likely hybrid-only after update."
Range Rover,Sport,Range Rover Sport,SUV,mixed_ICE_PHEV,medium,chasingcars_2024_top100,""
Subaru,WRX,Subaru WRX,passenger,ICE_petrol,high,chasingcars_2024_top100,""
Volkswagen,Polo,Volkswagen Polo,passenger,ICE_petrol,high,chasingcars_2024_top100,""
Volvo,EX30,Volvo EX30,SUV,BEV,high,chasingcars_2024_top100,"BEV only."
BYD,Dolphin,BYD Dolphin,passenger,BEV,high,chasingcars_2024_top100,"BEV only."
Kia,Seltos,Kia Seltos,SUV,ICE_petrol,medium,carsguide_2020_top100,"No plug-in variant in 2020 Australian top-seller context."
Toyota,HiAce,Toyota HiAce,light_commercial,ICE_diesel_or_petrol,medium,carsguide_2020_top100,"Van; treat as light commercial for fleet-type analysis."
Subaru,XV,Subaru XV,SUV,mixed_ICE_HEV,medium,carsguide_2020_top100,"Includes petrol and hybrid variants depending year."
Holden,Colorado,Holden Colorado,light_commercial,ICE_diesel,medium,carsguide_2020_top100,"Diesel ute."
Honda,Civic,Honda Civic,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Mazda,CX-9,Mazda CX-9,SUV,ICE_petrol,medium,carsguide_2020_top100,""
Mercedes-Benz,A-Class,Mercedes-Benz A-Class,passenger,ICE_petrol_or_diesel,medium,carsguide_2020_top100,""
Kia,Rio,Kia Rio,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Hyundai,iLoad,Hyundai iLoad,light_commercial,ICE_diesel_or_petrol,medium,carsguide_2020_top100,"Van; treat as light commercial for fleet-type analysis."
Subaru,Impreza,Subaru Impreza,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Mercedes-Benz,C-Class,Mercedes-Benz C-Class,passenger,mixed_ICE_PHEV,medium,carsguide_2020_top100,"Includes ICE/PHEV depending variant availability; likely mostly ICE."
Suzuki,Baleno,Suzuki Baleno,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Ford,Mustang,Ford Mustang,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Jeep,Grand Cherokee,Jeep Grand Cherokee,SUV,ICE_petrol_or_diesel,medium,carsguide_2020_top100,""
Volvo,XC60,Volvo XC60,SUV,mixed_ICE_PHEV,medium,carsguide_2020_top100,"Includes ICE/PHEV depending variant availability."
Mercedes-Benz,GLE,Mercedes-Benz GLE,SUV,mixed_ICE_PHEV,medium,carsguide_2020_top100,"Includes ICE/PHEV depending variant availability."
Honda,Jazz,Honda Jazz,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Volkswagen,T-Cross,Volkswagen T-Cross,SUV,ICE_petrol,medium,carsguide_2020_top100,""
Renault,Koleos,Renault Koleos,SUV,ICE_petrol_or_diesel,medium,carsguide_2020_top100,""
Mitsubishi,Pajero,Mitsubishi Pajero,SUV,ICE_diesel,medium,carsguide_2020_top100,""
Mercedes-Benz,X-Class,Mercedes-Benz X-Class,light_commercial,ICE_diesel,medium,carsguide_2020_top100,"Ute."
Ford,Transit Custom,Ford Transit Custom,light_commercial,ICE_diesel,medium,carsguide_2020_top100,"Van; treat as light commercial for fleet-type analysis."
Holden,Trax,Holden Trax,SUV,ICE_petrol,medium,carsguide_2020_top100,""
BMW,1 Series,BMW 1 Series,passenger,ICE_petrol_or_diesel,medium,carsguide_2020_top100,""
Skoda,Octavia,Skoda Octavia,passenger,ICE_petrol_or_diesel,medium,carsguide_2020_top100,""
Mercedes-Benz,CLA,Mercedes-Benz CLA,passenger,ICE_petrol,medium,carsguide_2020_top100,""
Toyota,HiAce Commuter,Toyota HiAce Commuter,bus,ICE_diesel_or_petrol,medium,carsguide_2020_top100,"Bus/people carrier variant; keep separate from light-commercial HiAce van."
Haval,H2,Haval H2,SUV,ICE_petrol,medium,carsguide_2020_top100,""
Ford,Escape,Ford Escape,SUV,ICE_petrol,medium,carsguide_2020_top100,""
Lexus,RX,Lexus RX,SUV,mixed_ICE_HEV,medium,carsguide_2020_top100,"Includes petrol and hybrid variants."
Hyundai,Accent,Hyundai Accent,passenger,ICE_petrol,medium,carsguide_2019_top100,""
Holden,Commodore,Holden Commodore,passenger,ICE_petrol_or_diesel,medium,carsguide_2019_top100,""
Holden,Equinox,Holden Equinox,SUV,ICE_petrol_or_diesel,medium,carsguide_2019_top100,""
Holden,Astra,Holden Astra,passenger,ICE_petrol,medium,carsguide_2019_top100,""
Ford,Focus,Ford Focus,passenger,ICE_petrol,medium,carsguide_2019_top100,""
Holden,Acadia,Holden Acadia,SUV,ICE_petrol,medium,carsguide_2019_top100,""
Holden,Trailblazer,Holden Trailblazer,SUV,ICE_diesel,medium,carsguide_2019_top100,""
Nissan,Pathfinder,Nissan Pathfinder,SUV,ICE_petrol,medium,carsguide_2019_top100,""
Hyundai,Elantra,Hyundai Elantra,passenger,ICE_petrol,medium,carsguide_2019_top100,""
Mazda,6,Mazda 6,passenger,ICE_petrol_or_diesel,medium,carsguide_2019_top100,"Listed as Mazda6 in source."
Mercedes-Benz,C-Class Coupe/Cabriolet,Mercedes-Benz C-Class Coupe/Cabriolet,passenger,ICE_petrol,medium,carsguide_2019_top100,"Separated from sedan/wagon C-Class in CarsGuide 2019 source."
Mitsubishi,Lancer,Mitsubishi Lancer,passenger,ICE_petrol,medium,carsguide_2019_top100,""
Land Rover,Discovery Sport,Land Rover Discovery Sport,SUV,ICE_diesel_or_petrol,medium,carsguide_2019_top100,""
Skoda,Kodiaq,Skoda Kodiaq,SUV,ICE_petrol_or_diesel,medium,carsguide_2019_top100,""
Audi,Q2,Audi Q2,SUV,ICE_petrol,medium,carsguide_2019_top100,""
Chery,Tiggo 4,Chery Tiggo 4,SUV,mixed_ICE_HEV,medium,carexpert_2025_full,"Includes ICE and hybrid variants depending launch/variant."
BYD,Shark 6,BYD Shark 6,light_commercial,PHEV,high,carexpert_2025_full,"PHEV ute."
BYD,Sealion 7,BYD Sealion 7,SUV,BEV,high,chasingcars_2026_apr,"BEV SUV."
Jaecoo,J5,Jaecoo J5,SUV,ICE_petrol,low,chasingcars_2026_may,"Powertrain classification to verify; treat as ICE until hybrid/EV variants are evidenced in sales data."
